# {"t_start": 1562835804.7891831, "env_id": "HalfCheetah-v2"} 
r,l,t
-985.303975,1000,4.599236
-828.08196,1000,7.156671
-877.427448,1000,9.516534
-759.106243,1000,12.113839
-753.083564,1000,14.555735
-874.235876,1000,16.932278
-823.606389,1000,19.529288
-715.56956,1000,22.070242
-1043.429325,1000,24.661939
-838.831942,1000,26.975147
-858.086949,1000,179.361903
-767.974014,1000,181.893115
-874.196138,1000,184.447175
-736.594158,1000,187.015079
-775.958341,1000,189.608784
-826.303368,1000,191.990417
-845.135837,1000,194.412715
-721.71106,1000,196.918544
-719.827528,1000,199.466804
-951.193926,1000,202.031344
-793.435434,1000,354.303342
-629.166897,1000,356.908746
-787.402379,1000,359.311956
-843.307663,1000,361.648061
-735.391881,1000,364.192922
-768.722617,1000,366.596152
-757.642086,1000,369.119647
-867.34164,1000,371.468889
-794.132312,1000,374.020798
-733.438406,1000,376.451929
-562.732236,1000,530.277401
-713.783549,1000,532.857656
-680.112711,1000,535.410556
-607.426484,1000,537.806231
-697.212136,1000,540.315948
-725.463971,1000,542.820351
-698.108974,1000,545.397267
-724.149179,1000,547.821762
-712.886743,1000,550.367419
-718.387351,1000,552.888695
-650.279989,1000,705.195315
-766.593277,1000,707.7205
-572.453499,1000,710.299413
-533.137616,1000,712.792273
-626.407597,1000,715.318649
-636.453851,1000,717.857326
-670.175996,1000,720.447789
-497.13197,1000,723.063315
-644.752782,1000,725.642729
-822.024018,1000,728.159682
-618.052202,1000,881.266027
-619.479111,1000,883.79781
-606.396354,1000,886.225326
-593.894306,1000,888.762767
-613.101631,1000,891.139719
-552.288946,1000,893.687308
-571.804859,1000,896.269174
-563.031227,1000,898.798788
-576.954702,1000,901.325882
-509.636384,1000,903.893903
-607.488674,1000,1056.312531
-538.116505,1000,1058.821058
-542.197588,1000,1061.289463
-624.36238,1000,1063.84564
-574.128838,1000,1066.492049
-531.149426,1000,1069.003665
-551.579428,1000,1071.523611
-525.75828,1000,1074.083788
-576.525078,1000,1076.602592
-691.619198,1000,1079.074797
-538.525624,1000,1232.520828
-517.592193,1000,1235.13255
-539.18104,1000,1237.727866
-469.533829,1000,1240.29306
-454.121067,1000,1242.726077
-526.979727,1000,1245.278219
-530.776468,1000,1247.891166
-506.138298,1000,1250.289177
-490.379566,1000,1252.834312
-443.776007,1000,1255.224204
-568.350891,1000,1408.278119
-434.130255,1000,1410.866365
-414.786468,1000,1413.438874
-600.891504,1000,1415.815157
-434.44603,1000,1418.42648
-450.717846,1000,1420.771842
-453.277645,1000,1423.289629
-440.696211,1000,1425.604063
-425.366877,1000,1427.974167
-437.50676,1000,1430.560345
-468.447909,1000,1583.212031
-388.994684,1000,1585.793423
-392.805017,1000,1588.091151
-336.29585,1000,1590.630554
-380.029427,1000,1593.205816
-394.693949,1000,1595.799761
-403.135142,1000,1598.292623
-436.442404,1000,1600.885529
-461.164717,1000,1603.496559
-353.491442,1000,1606.057787
-333.187659,1000,1759.144802
-314.193902,1000,1761.590198
-370.608847,1000,1764.028608
-406.861783,1000,1766.465588
-379.736589,1000,1768.86561
-365.627408,1000,1771.450673
-417.648939,1000,1774.024084
-416.702444,1000,1776.62169
-414.069865,1000,1779.198638
-341.871565,1000,1781.78582
-258.383664,1000,1934.273784
-347.553893,1000,1936.803908
-317.584382,1000,1939.166601
-347.050702,1000,1941.443995
-290.483492,1000,1943.918991
-283.932686,1000,1946.411693
-304.991159,1000,1948.963005
-311.348123,1000,1951.547765
-300.257242,1000,1954.147126
-413.196013,1000,1956.728658
-293.952943,1000,2109.017232
-318.15589,1000,2111.485523
-325.082104,1000,2114.100014
-256.172674,1000,2116.645905
-203.156507,1000,2119.107331
-292.877223,1000,2121.423064
-254.438907,1000,2123.943535
-256.96602,1000,2126.522227
-320.251931,1000,2129.006299
-333.198249,1000,2131.469449
-234.728818,1000,2283.963781
-187.317081,1000,2286.455409
-219.968499,1000,2289.003824
-172.366532,1000,2291.458832
-151.65678,1000,2294.016496
-185.502655,1000,2296.506027
-202.860303,1000,2298.920893
-236.251372,1000,2301.373687
-264.348252,1000,2303.742127
-204.774099,1000,2306.165482
-218.006005,1000,2458.386365
-111.633753,1000,2460.849066
-186.618993,1000,2463.408253
-114.614971,1000,2465.855687
-251.230771,1000,2468.449151
-176.522758,1000,2471.017734
-110.20203,1000,2473.545126
-111.977243,1000,2476.043742
-173.026672,1000,2478.571751
-162.051863,1000,2481.114194
-61.422924,1000,2633.689725
-107.018453,1000,2636.17341
-87.331925,1000,2638.461928
-183.62491,1000,2640.979882
-132.713135,1000,2643.467494
-128.828496,1000,2646.069046
-73.872789,1000,2648.648164
-128.744757,1000,2651.157164
-117.407284,1000,2653.586839
-168.859569,1000,2655.941741
-45.564002,1000,2808.406174
-158.252399,1000,2810.972344
-94.139289,1000,2813.534288
-126.952199,1000,2816.039516
-108.01983,1000,2818.353766
-129.175484,1000,2820.946818
-98.232197,1000,2823.466282
-246.30218,1000,2826.130333
-101.065906,1000,2828.664413
-128.387239,1000,2831.12125
-91.542882,1000,2983.518713
-41.897473,1000,2985.950746
-102.4787,1000,2988.556702
-13.976506,1000,2991.173692
-125.298273,1000,2993.75433
-22.047261,1000,2996.24904
-112.484068,1000,2998.854999
-49.904204,1000,3001.392739
-13.149068,1000,3003.879729
47.540483,1000,3006.475832
-87.392585,1000,3158.929728
5.135089,1000,3161.357066
-29.272056,1000,3163.789755
-323.482213,1000,3166.284284
3.23526,1000,3168.896352
8.059016,1000,3171.351481
46.322863,1000,3173.677344
40.866134,1000,3176.246475
-32.298003,1000,3178.75625
35.520603,1000,3181.326583
4.216398,1000,3333.476612
-0.356775,1000,3336.001237
80.957812,1000,3338.540525
-155.312073,1000,3340.881595
19.13073,1000,3343.351333
-20.173887,1000,3345.891562
30.380723,1000,3348.354733
49.789799,1000,3350.623487
49.536401,1000,3353.222199
-199.099676,1000,3355.817166
42.359168,1000,3508.121571
50.544312,1000,3510.697881
57.789231,1000,3513.21147
32.814165,1000,3515.769036
-32.606482,1000,3518.144642
83.309539,1000,3520.721643
48.08687,1000,3523.300162
91.701767,1000,3525.739625
33.734036,1000,3528.162699
-50.837223,1000,3530.672471
73.688011,1000,3683.272844
-26.653552,1000,3685.71649
95.77898,1000,3688.257153
89.123933,1000,3690.816669
87.342782,1000,3693.204614
88.264888,1000,3695.788671
50.278754,1000,3698.421174
72.194739,1000,3700.903449
142.889028,1000,3703.351738
110.53363,1000,3705.868993
117.590505,1000,3858.166381
125.235706,1000,3860.660588
138.731775,1000,3863.019952
-0.499546,1000,3865.348619
180.536682,1000,3867.866723
83.048411,1000,3870.153639
85.586599,1000,3872.458064
92.28502,1000,3874.953054
114.755894,1000,3877.230119
90.31589,1000,3879.767661
138.394199,1000,4032.491483
97.48653,1000,4035.047792
102.564986,1000,4037.37124
90.003387,1000,4039.935645
193.371207,1000,4042.493463
-2.085886,1000,4044.943505
-171.796422,1000,4047.496361
32.854969,1000,4049.870573
142.282517,1000,4052.360203
112.810332,1000,4054.924075
179.744578,1000,4207.7346
52.753624,1000,4210.218798
206.684721,1000,4212.558191
97.102252,1000,4214.990704
100.308633,1000,4217.51602
137.671998,1000,4219.91474
76.95001,1000,4222.421522
141.250149,1000,4225.037186
81.393754,1000,4227.388779
223.900378,1000,4229.992671
209.611833,1000,4382.582557
198.50451,1000,4385.179915
153.119442,1000,4387.736466
153.974349,1000,4390.286325
37.081233,1000,4392.837991
216.576583,1000,4395.408566
45.135634,1000,4397.966087
187.240082,1000,4400.433182
211.585242,1000,4402.80881
188.124618,1000,4405.400754
113.224393,1000,4558.318308
213.845438,1000,4560.769337
164.259848,1000,4563.144504
71.431336,1000,4565.597315
246.052438,1000,4568.0403
144.478892,1000,4570.656689
264.801513,1000,4573.226115
301.497739,1000,4575.821495
317.861199,1000,4578.170165
199.733263,1000,4580.735066
202.529418,1000,4733.338783
145.769386,1000,4735.905349
243.660516,1000,4738.46118
180.730269,1000,4740.900566
186.842655,1000,4743.486978
106.613075,1000,4746.061603
125.648426,1000,4748.433949
191.980647,1000,4750.86848
40.783112,1000,4753.446038
186.025387,1000,4755.94872
200.52889,1000,4908.444819
190.232103,1000,4910.943061
248.018221,1000,4913.507802
31.63776,1000,4916.028115
56.862017,1000,4918.607747
141.850178,1000,4921.245749
188.136259,1000,4923.839653
282.997486,1000,4926.433568
194.239924,1000,4928.892344
194.158227,1000,4931.477848
111.704082,1000,5084.345465
242.015339,1000,5086.689776
232.111389,1000,5089.240517
199.533811,1000,5091.810526
233.390722,1000,5094.347278
48.83182,1000,5096.947627
239.817791,1000,5099.42429
177.449105,1000,5102.017146
197.086412,1000,5104.626473
195.92727,1000,5107.209824
291.661533,1000,5259.908489
177.439681,1000,5262.152928
177.310256,1000,5264.685939
181.325695,1000,5267.257843
272.978137,1000,5269.767715
210.637124,1000,5272.28873
221.525358,1000,5274.692157
131.40221,1000,5277.196483
199.079611,1000,5279.692456
311.865379,1000,5282.263757
243.620463,1000,5435.106961
247.272461,1000,5437.5958
313.842145,1000,5440.042611
246.397544,1000,5442.602699
257.3686,1000,5445.19746
349.330767,1000,5447.616348
248.390987,1000,5450.100701
285.903854,1000,5452.601986
270.543501,1000,5455.120687
196.310929,1000,5457.703097
222.80118,1000,5610.276676
313.053592,1000,5612.521594
340.707942,1000,5615.061723
301.720565,1000,5617.560774
309.774952,1000,5620.054108
206.848385,1000,5622.42498
80.057115,1000,5624.967703
209.26012,1000,5627.497976
353.423377,1000,5630.093756
376.71888,1000,5632.709598
208.806063,1000,5785.1574
320.958345,1000,5787.652728
290.122051,1000,5790.172361
296.303074,1000,5792.614451
290.915043,1000,5795.15797
329.202733,1000,5797.607172
251.124544,1000,5800.184283
316.81374,1000,5802.762657
272.450298,1000,5805.209794
184.022467,1000,5807.630548
386.10803,1000,5960.099017
261.860117,1000,5962.593874
328.588802,1000,5965.026992
259.649694,1000,5967.558406
232.623634,1000,5970.184544
284.268226,1000,5972.635688
384.088433,1000,5975.144148
328.856789,1000,5977.756593
334.597358,1000,5980.341505
208.645437,1000,5982.793983
281.511506,1000,6135.39812
246.193026,1000,6137.969586
428.68336,1000,6140.548758
311.130025,1000,6143.098147
170.342363,1000,6145.706133
336.61795,1000,6148.085451
398.961124,1000,6150.662326
308.698344,1000,6153.253393
280.369308,1000,6155.597843
383.676182,1000,6158.184079
361.075434,1000,6310.981905
143.263754,1000,6313.348784
286.069698,1000,6315.870919
252.548607,1000,6318.356313
383.034833,1000,6320.958633
305.224421,1000,6323.549926
216.843261,1000,6326.039758
325.06286,1000,6328.551701
297.724471,1000,6331.001688
288.312692,1000,6333.506505
251.95335,1000,6486.391696
339.753524,1000,6488.739315
440.705295,1000,6491.171145
370.152708,1000,6493.640804
274.891358,1000,6496.11237
269.846798,1000,6498.705939
381.265745,1000,6501.138625
371.365591,1000,6503.68693
370.070253,1000,6506.152712
427.840132,1000,6508.727926
185.487132,1000,6661.655069
352.054113,1000,6664.253626
333.016707,1000,6666.858634
248.23535,1000,6669.394856
362.232745,1000,6671.978672
320.302509,1000,6674.449908
267.008233,1000,6677.076655
407.684125,1000,6679.533455
299.815813,1000,6681.979907
306.209697,1000,6684.563596
406.799752,1000,6837.466107
385.962925,1000,6840.036236
443.163312,1000,6842.596094
347.841467,1000,6845.156657
217.150023,1000,6847.562761
383.372472,1000,6850.09203
362.84579,1000,6852.419914
383.652878,1000,6854.968718
265.564866,1000,6857.569497
373.929539,1000,6860.029694
339.20457,1000,7016.162354
246.778849,1000,7019.115083
