# {"t_start": 1562835804.7725968, "env_id": "HalfCheetah-v2"} 
r,l,t
-1007.568865,1000,4.615796
-787.212767,1000,7.172979
-848.932724,1000,9.533019
-793.275961,1000,12.130277
-787.065987,1000,14.572189
-868.587073,1000,16.948885
-979.443801,1000,19.545965
-860.454539,1000,22.086781
-855.403771,1000,24.678531
-955.917862,1000,26.991398
-840.2247,1000,179.378267
-837.419762,1000,181.910161
-781.837641,1000,184.46425
-844.30322,1000,187.031476
-986.551769,1000,189.625339
-817.322551,1000,192.006942
-885.002477,1000,194.428925
-801.560349,1000,196.93521
-817.855533,1000,199.483209
-883.856705,1000,202.047672
-830.164121,1000,354.319625
-655.503882,1000,356.925131
-782.86174,1000,359.328418
-807.545865,1000,361.664516
-781.838319,1000,364.209325
-750.115178,1000,366.612557
-822.370297,1000,369.136028
-976.485222,1000,371.485389
-753.191406,1000,374.037423
-706.797801,1000,376.468331
-730.923455,1000,530.293887
-692.692185,1000,532.874225
-705.569946,1000,535.427091
-694.656203,1000,537.822387
-677.073436,1000,540.332311
-670.04033,1000,542.837109
-570.719941,1000,545.413481
-658.400817,1000,547.838111
-688.263897,1000,550.383678
-676.982079,1000,552.905174
-624.920421,1000,705.211754
-643.152888,1000,707.736858
-625.978773,1000,710.315944
-672.264068,1000,712.809377
-605.931103,1000,715.33495
-636.747229,1000,717.873162
-642.617427,1000,720.464312
-682.559138,1000,723.078357
-623.974792,1000,725.659031
-795.317474,1000,728.175869
-666.352824,1000,881.283057
-600.898178,1000,883.814634
-602.371668,1000,886.241773
-661.454955,1000,888.779238
-571.998543,1000,891.156173
-583.345487,1000,893.703733
-519.030829,1000,896.285689
-594.73194,1000,898.815394
-578.065238,1000,901.342929
-585.364937,1000,903.909807
-503.757217,1000,1056.329515
-538.087234,1000,1058.837336
-564.75632,1000,1061.30649
-548.2653,1000,1063.861742
-542.034916,1000,1066.508428
-493.10487,1000,1069.020193
-588.441052,1000,1071.540107
-587.295264,1000,1074.100242
-620.257205,1000,1076.619145
-549.394413,1000,1079.091111
-472.508521,1000,1232.537906
-514.970377,1000,1235.148898
-447.840585,1000,1237.74494
-500.182906,1000,1240.309554
-483.352825,1000,1242.743182
-440.847621,1000,1245.294611
-529.846573,1000,1247.908271
-513.032676,1000,1250.305657
-532.211445,1000,1252.850694
-534.243795,1000,1255.240721
-484.467291,1000,1408.295149
-543.843186,1000,1410.882836
-520.533603,1000,1413.455331
-433.057962,1000,1415.831363
-437.284096,1000,1418.44312
-409.956657,1000,1420.788147
-451.342048,1000,1423.306036
-444.670805,1000,1425.620693
-400.122086,1000,1427.99011
-422.604335,1000,1430.576382
-400.407843,1000,1583.228429
-366.290392,1000,1585.810073
-381.836401,1000,1588.107459
-412.661419,1000,1590.647193
-409.240774,1000,1593.222278
-364.659963,1000,1595.816164
-363.557921,1000,1598.309137
-361.616861,1000,1600.901832
-390.505358,1000,1603.513129
-392.920731,1000,1606.074153
-386.921231,1000,1759.161867
-360.855632,1000,1761.607273
-412.954002,1000,1764.044917
-360.377745,1000,1766.481709
-357.119986,1000,1768.881778
-346.000621,1000,1771.467157
-330.053908,1000,1774.040367
-293.287826,1000,1776.638188
-380.414146,1000,1779.215202
-402.32391,1000,1781.80289
-251.882961,1000,1934.290512
-304.882068,1000,1936.820431
-316.136331,1000,1939.183156
-318.808034,1000,1941.461025
-293.352759,1000,1943.935438
-273.983167,1000,1946.428808
-344.429595,1000,1948.979379
-309.434916,1000,1951.564188
-300.238498,1000,1954.163677
-303.277826,1000,1956.745008
-262.716432,1000,2109.033488
-307.235237,1000,2111.502687
-275.509354,1000,2114.116617
-314.236655,1000,2116.662166
-315.701471,1000,2119.123852
-233.71622,1000,2121.439584
-255.54134,1000,2123.960057
-231.727096,1000,2126.538673
-283.709527,1000,2129.022367
-339.214714,1000,2131.486603
-257.16688,1000,2283.980708
-189.54116,1000,2286.47195
-143.866643,1000,2289.019714
-275.270705,1000,2291.475099
-221.634923,1000,2294.032929
-208.301577,1000,2296.522511
-171.57663,1000,2298.937349
-220.133417,1000,2301.390265
-319.635967,1000,2303.758331
-251.440374,1000,2306.182475
-232.409329,1000,2458.403045
-177.698337,1000,2460.865001
-161.393111,1000,2463.424571
-181.768594,1000,2465.872174
-185.250643,1000,2468.466195
-131.105524,1000,2471.034326
-183.129625,1000,2473.561075
-225.158379,1000,2476.060772
-169.624722,1000,2478.58815
-172.0161,1000,2481.130058
-187.472185,1000,2633.70615
-105.061476,1000,2636.189753
-135.10044,1000,2638.478208
-75.851944,1000,2640.996562
-31.522152,1000,2643.483938
-123.884199,1000,2646.084927
-125.474231,1000,2648.664506
-144.273011,1000,2651.173719
-113.832331,1000,2653.603153
-175.079609,1000,2655.958863
-68.111966,1000,2808.422889
-50.69802,1000,2810.988827
-186.937396,1000,2813.550658
-121.191025,1000,2816.055992
-192.094541,1000,2818.370301
-122.544249,1000,2820.963259
-110.507933,1000,2823.482921
-21.742413,1000,2826.146921
-101.059442,1000,2828.680994
-159.665075,1000,2831.137645
69.649436,1000,2983.535271
-80.973586,1000,2985.967065
-95.545412,1000,2988.573232
-32.295341,1000,2991.19004
-61.302809,1000,2993.77058
-71.116762,1000,2996.266195
-59.398464,1000,2998.871325
-30.669695,1000,3001.409821
60.111669,1000,3003.896078
-54.241739,1000,3006.49204
7.157878,1000,3158.945894
17.047742,1000,3161.373567
43.595674,1000,3163.806201
-7.601046,1000,3166.300677
24.843971,1000,3168.913394
-52.587024,1000,3171.367978
32.392983,1000,3173.693763
31.875081,1000,3176.262922
-60.474439,1000,3178.772761
-114.878952,1000,3181.343645
-16.847682,1000,3333.492566
75.996927,1000,3336.017737
-117.543133,1000,3338.556876
13.559625,1000,3340.89791
52.624434,1000,3343.367827
31.830101,1000,3345.908659
10.642634,1000,3348.371105
56.322945,1000,3350.640436
-46.753319,1000,3353.23818
23.120527,1000,3355.834028
45.402508,1000,3508.138074
-5.69046,1000,3510.714205
23.924567,1000,3513.228329
58.206548,1000,3515.785506
