# {"t_start": 1562835804.7810822, "env_id": "HalfCheetah-v2"} 
r,l,t
-849.083323,1000,4.607212
-803.032309,1000,7.164713
-826.33378,1000,9.524554
-892.838396,1000,12.121313
-847.431134,1000,14.563758
-712.356973,1000,16.940393
-908.344852,1000,19.537481
-861.23683,1000,22.078308
-866.577901,1000,24.670037
-780.470542,1000,26.982988
-830.32367,1000,179.369957
-814.477333,1000,181.901569
-873.923695,1000,184.455765
-723.4515,1000,187.022962
-792.509173,1000,189.616345
-793.685733,1000,191.998308
-589.454417,1000,194.420593
-753.920939,1000,196.926818
-932.486287,1000,199.474729
-808.495905,1000,202.039227
-831.433203,1000,354.311259
-735.996183,1000,356.916759
-745.634006,1000,359.320138
-713.294862,1000,361.656201
-859.074253,1000,364.200741
-700.645834,1000,366.60411
-809.706532,1000,369.127202
-870.048169,1000,371.476997
-699.297438,1000,374.028986
-657.919962,1000,376.459858
-562.262637,1000,530.285292
-759.173273,1000,532.865448
-669.597788,1000,535.418549
-673.281684,1000,537.814301
-642.79532,1000,540.323912
-723.847447,1000,542.828086
-741.522501,1000,545.405174
-717.271581,1000,547.829798
-696.75782,1000,550.375483
-742.113011,1000,552.896719
-646.979506,1000,705.203285
-619.788169,1000,707.728524
-713.082316,1000,710.307458
-681.003505,1000,712.800933
-636.45593,1000,715.326683
-642.07408,1000,717.865264
-622.694893,1000,720.455802
-679.002807,1000,723.070015
-637.406315,1000,725.650573
-726.841725,1000,728.167567
-478.027368,1000,881.27451
-590.272189,1000,883.805667
-599.367556,1000,886.233406
-657.846787,1000,888.770753
-558.114709,1000,891.147729
-703.809509,1000,893.695358
-611.654373,1000,896.27674
-569.281577,1000,898.806909
-621.32816,1000,901.334439
-649.652748,1000,903.902005
-575.590788,1000,1056.321098
-529.703788,1000,1058.828918
-573.567138,1000,1061.297941
-581.988067,1000,1063.853617
-507.507179,1000,1066.499531
-533.331833,1000,1069.011793
-529.21198,1000,1071.531622
-469.793926,1000,1074.091679
-580.803212,1000,1076.61078
-586.613948,1000,1079.082771
-531.301424,1000,1232.529411
-539.721043,1000,1235.140413
-554.922085,1000,1237.736435
-495.069217,1000,1240.301023
-501.393251,1000,1242.73472
-488.635452,1000,1245.285688
-490.44725,1000,1247.89972
-501.998161,1000,1250.297224
-458.704442,1000,1252.842209
-433.835463,1000,1255.232369
-444.185132,1000,1408.2867
-416.432491,1000,1410.874351
-482.960779,1000,1413.446975
-441.110306,1000,1415.823024
-456.325337,1000,1418.434635
-475.078737,1000,1420.779901
-478.42773,1000,1423.297521
-437.112964,1000,1425.61228
-431.089066,1000,1427.982285
-453.142966,1000,1430.568392
-380.927116,1000,1583.219961
-440.229237,1000,1585.8015
-401.088132,1000,1588.099175
-434.316514,1000,1590.638174
-415.34885,1000,1593.213902
-434.462999,1000,1595.807665
-413.864948,1000,1598.300653
-390.193743,1000,1600.893525
-361.468435,1000,1603.504592
-334.507392,1000,1606.065768
-308.195982,1000,1759.153339
-380.342887,1000,1761.59876
-425.501819,1000,1764.036707
-361.937298,1000,1766.473505
-394.875568,1000,1768.873351
-400.504122,1000,1771.458729
-398.42127,1000,1774.031948
-348.9616,1000,1776.629696
-362.429059,1000,1779.20723
-300.541098,1000,1781.794405
-328.925166,1000,1934.282027
-283.639667,1000,1936.811922
-333.363133,1000,1939.174684
-283.654557,1000,1941.452504
-249.454704,1000,1943.926954
-338.031218,1000,1946.420323
-290.864306,1000,1948.971
-447.648563,1000,1951.555637
-351.277211,1000,1954.15499
-368.332478,1000,1956.736636
-298.081791,1000,2109.025106
-273.843187,1000,2111.494035
-324.280501,1000,2114.108172
-272.118891,1000,2116.653932
-230.062993,1000,2119.115245
-351.54899,1000,2121.431342
-232.279641,1000,2123.951386
-274.084823,1000,2126.530198
-270.370236,1000,2129.014431
-245.317072,1000,2131.47812
-239.026878,1000,2283.972373
-246.142903,1000,2286.463529
-220.433583,1000,2289.0118
-176.043662,1000,2291.466934
-185.651209,1000,2294.024072
-220.4253,1000,2296.514047
-238.932976,1000,2298.928941
-227.562484,1000,2301.381803
-146.212283,1000,2303.749641
-233.710306,1000,2306.17411
-156.126993,1000,2458.394447
-119.724185,1000,2460.85693
-292.773191,1000,2463.416352
-203.060296,1000,2465.863744
-91.172063,1000,2468.457767
-171.093496,1000,2471.025818
-213.370188,1000,2473.553372
-227.078277,1000,2476.052309
-155.151798,1000,2478.579886
-119.8503,1000,2481.121852
-91.503542,1000,2633.697237
-82.454539,1000,2636.180956
-182.025825,1000,2638.47003
-107.759842,1000,2640.988177
-127.69176,1000,2643.47546
-249.574982,1000,2646.077015
-216.668259,1000,2648.656016
-93.505291,1000,2651.165192
-132.222965,1000,2653.59471
-120.118301,1000,2655.950334
-141.231374,1000,2808.414667
-155.787811,1000,2810.980391
-208.63432,1000,2813.54235
-158.361748,1000,2816.04742
-78.877388,1000,2818.361267
-268.127734,1000,2820.954404
-108.709833,1000,2823.474523
-74.301675,1000,2826.138476
