# {"t_start": 1562835804.7697272, "env_id": "HalfCheetah-v2"} 
r,l,t
-891.239752,1000,4.618101
-893.773226,1000,7.175978
-890.29367,1000,9.535955
-811.618414,1000,12.133091
-987.447276,1000,14.574993
-918.190215,1000,16.951732
-748.72864,1000,19.548742
-778.383464,1000,22.089716
-822.397166,1000,24.681399
-877.973615,1000,26.994284
-783.958092,1000,179.381307
-720.676648,1000,181.913028
-988.492892,1000,184.467132
-755.14543,1000,187.034389
-784.347084,1000,189.628238
-801.800968,1000,192.009844
-939.386379,1000,194.431648
-879.987283,1000,196.938186
-790.843373,1000,199.486084
-790.040426,1000,202.050581
-735.521394,1000,354.322652
-722.626435,1000,356.927914
-814.654309,1000,359.331491
-675.092679,1000,361.667062
-748.01662,1000,364.211669
-721.346392,1000,366.615496
-783.21572,1000,369.13903
-665.325828,1000,371.488344
-615.035068,1000,374.040292
-751.222491,1000,376.47119
-644.220973,1000,530.296756
-756.275846,1000,532.877143
-779.731401,1000,535.429965
-733.85093,1000,537.825655
-665.335563,1000,540.33518
-716.157361,1000,542.839735
-735.474814,1000,545.416528
-706.447361,1000,547.84058
-717.486571,1000,550.386728
-724.970092,1000,552.907521
-635.255599,1000,705.214606
-492.731647,1000,707.73983
-690.698496,1000,710.318244
-608.910716,1000,712.812137
-717.356913,1000,715.337524
-549.057761,1000,717.876519
-673.408198,1000,720.467083
-538.840747,1000,723.08131
-641.615234,1000,725.66194
-600.995569,1000,728.179067
-642.538925,1000,881.285912
-604.724327,1000,883.817503
-566.292328,1000,886.244802
-660.796605,1000,888.782091
-594.634368,1000,891.159001
-565.100619,1000,893.706146
-569.950951,1000,896.28845
-581.647912,1000,898.818234
-555.547962,1000,901.345651
-616.125396,1000,903.913162
-485.384537,1000,1056.332384
-515.917386,1000,1058.840175
-557.912842,1000,1061.309486
-520.518847,1000,1063.864999
-554.441732,1000,1066.51121
-544.274441,1000,1069.022539
-577.562754,1000,1071.543022
-602.683976,1000,1074.103112
-538.411268,1000,1076.621972
-586.689571,1000,1079.094104
-508.802851,1000,1232.540791
-457.618972,1000,1235.151767
-515.018563,1000,1237.747718
-488.375758,1000,1240.311851
-443.850027,1000,1242.746012
-634.810317,1000,1245.297522
-516.199437,1000,1247.910973
-509.095772,1000,1250.30847
-536.26658,1000,1252.853384
-506.358203,1000,1255.243134
-437.013157,1000,1408.298029
-389.781408,1000,1410.885753
-480.048829,1000,1413.457692
-419.669068,1000,1415.83394
-413.368215,1000,1418.445918
-396.167403,1000,1420.791137
-565.266684,1000,1423.308389
-464.91982,1000,1425.623456
-428.652426,1000,1427.993457
-445.327418,1000,1430.579104
-421.928856,1000,1583.231278
-419.254381,1000,1585.812906
-439.406421,1000,1588.110328
-378.167254,1000,1590.649861
-457.346972,1000,1593.225256
-497.932366,1000,1595.818781
-469.784906,1000,1598.311911
-406.589331,1000,1600.904699
-428.654876,1000,1603.515779
-473.615819,1000,1606.076602
-330.977275,1000,1759.164718
-266.736665,1000,1761.610225
-405.673552,1000,1764.047728
-338.686356,1000,1766.484329
-414.623594,1000,1768.884362
-367.184176,1000,1771.46945
-450.323063,1000,1774.043402
-404.126905,1000,1776.641065
-398.843382,1000,1779.218547
