# {"t_start": 1562835804.765559, "env_id": "HalfCheetah-v2"} 
r,l,t
-1053.710855,1000,4.622792
-898.449103,1000,7.180218
-866.042264,1000,9.540121
-732.525138,1000,12.137216
-809.241748,1000,14.57928
-768.918159,1000,16.955915
-749.453272,1000,19.552864
-704.509529,1000,22.093831
-844.319025,1000,24.68527
-813.65355,1000,26.997787
-745.339562,1000,179.3855
-836.652539,1000,181.917259
-796.755225,1000,184.471066
-741.529113,1000,187.038433
-836.652008,1000,189.632297
-898.375058,1000,192.013981
-917.948074,1000,194.435894
-752.982649,1000,196.941683
-824.823245,1000,199.490246
-794.330538,1000,202.054143
-667.271283,1000,354.326664
-704.047122,1000,356.932183
-699.097825,1000,359.335576
-755.397845,1000,361.671599
-889.440237,1000,364.216369
-727.247177,1000,366.61962
-768.734936,1000,369.143198
-716.265252,1000,371.492547
-661.021013,1000,374.04412
-700.133019,1000,376.47476
-729.54011,1000,530.30091
-613.844906,1000,532.881073
-669.391272,1000,535.434073
-735.190887,1000,537.829709
-683.744051,1000,540.339384
-800.268045,1000,542.843902
-682.001963,1000,545.420517
-714.604353,1000,547.845255
-693.38196,1000,550.390579
-662.797691,1000,552.912143
-699.356208,1000,705.21826
-722.075509,1000,707.743896
-598.63046,1000,710.323045
-643.293383,1000,712.816315
-629.273749,1000,715.342136
-637.931862,1000,717.880668
-631.572928,1000,720.471183
-553.587882,1000,723.085306
-702.46155,1000,725.665994
-597.563281,1000,728.183061
-593.676447,1000,881.290059
-540.578728,1000,883.821679
-563.568954,1000,886.248856
-592.213033,1000,888.785944
-614.588003,1000,891.163169
-597.852072,1000,893.710771
-595.842618,1000,896.292678
-583.93032,1000,898.822422
-560.448496,1000,901.349967
-594.910859,1000,903.917194
-611.504911,1000,1056.336673
-526.607023,1000,1058.844414
-503.04698,1000,1061.313545
-561.836685,1000,1063.868869
-490.500343,1000,1066.515597
-523.385958,1000,1069.027103
-523.327305,1000,1071.547028
-572.542782,1000,1074.107172
-537.1868,1000,1076.626227
-541.618934,1000,1079.098116
-457.039171,1000,1232.544683
-443.381811,1000,1235.155969
-496.966954,1000,1237.751885
-539.690147,1000,1240.316457
-536.471264,1000,1242.750001
-512.024826,1000,1245.301468
-497.428832,1000,1247.915279
-646.311674,1000,1250.312695
-590.945016,1000,1252.857698
-580.256448,1000,1255.247758
-453.100463,1000,1408.302186
-450.810322,1000,1410.889922
-465.030395,1000,1413.462289
-478.242573,1000,1415.838454
-375.861815,1000,1418.450104
-485.408765,1000,1420.795381
-449.010658,1000,1423.313025
-439.323259,1000,1425.627718
-445.417222,1000,1427.997678
-560.33351,1000,1430.583707
-362.845612,1000,1583.235483
-409.106271,1000,1585.816887
-419.265737,1000,1588.114569
-381.887611,1000,1590.65406
-432.560191,1000,1593.229314
