# {"t_start": 1562835804.7688081, "env_id": "HalfCheetah-v2"} 
r,l,t
-827.442377,1000,4.619446
-804.269265,1000,7.176897
-795.753128,1000,9.536818
-918.204677,1000,12.134007
-837.079683,1000,14.576012
-863.250401,1000,16.952676
-786.911583,1000,19.549721
-767.931707,1000,22.090569
-774.103824,1000,24.682319
-774.853704,1000,26.995047
-779.044948,1000,179.382226
-765.403474,1000,181.914028
-741.186351,1000,184.468046
-820.628527,1000,187.034736
-749.452598,1000,189.629127
-785.539248,1000,192.010628
-866.049152,1000,194.432585
-850.524522,1000,196.938778
-889.957869,1000,199.486982
-758.60311,1000,202.051374
-799.278535,1000,354.323571
-809.041344,1000,356.929045
-837.14826,1000,359.332299
-682.53251,1000,361.668474
-807.969931,1000,364.213061
-772.909477,1000,366.616343
-733.927047,1000,369.139924
-825.452473,1000,371.489171
-679.323568,1000,374.040995
-681.638744,1000,376.471864
-669.495596,1000,530.297437
-681.469538,1000,532.877942
-728.083915,1000,535.43073
-635.874828,1000,537.826556
-647.367759,1000,540.336128
-710.088743,1000,542.840812
-712.237079,1000,545.416922
-680.707042,1000,547.841899
-679.876833,1000,550.387045
-661.275807,1000,552.908876
-575.104415,1000,705.215525
-668.976635,1000,707.740162
-630.099293,1000,710.319751
-666.38622,1000,712.813166
-752.71947,1000,715.338903
-543.838384,1000,717.877394
-637.359371,1000,720.467988
-638.196377,1000,723.082044
-718.481506,1000,725.662859
-619.559329,1000,728.179854
-694.86609,1000,881.286831
-589.867692,1000,883.818451
-571.786578,1000,886.245679
-594.818672,1000,888.782983
-582.528097,1000,891.159979
-613.550932,1000,893.707415
-593.775591,1000,896.28946
-600.9447,1000,898.819162
-618.298322,1000,901.3467
-603.834272,1000,903.914081
-604.818202,1000,1056.333319
-565.671001,1000,1058.840607
-530.568524,1000,1061.310405
-624.417423,1000,1063.865667
-463.098687,1000,1066.512325
-522.930924,1000,1069.024004
-579.272382,1000,1071.543769
-534.217537,1000,1074.104071
-615.126558,1000,1076.622919
-674.789686,1000,1079.094693
-430.594772,1000,1232.541679
-469.90352,1000,1235.152686
-465.076149,1000,1237.748669
-538.30069,1000,1240.313088
-563.534611,1000,1242.746931
-518.278503,1000,1245.298399
-475.637715,1000,1247.91203
-502.612871,1000,1250.309461
-538.78068,1000,1252.854339
-522.006009,1000,1255.244559
-431.656833,1000,1408.298949
-437.884542,1000,1410.886668
-406.175782,1000,1413.459086
-443.773062,1000,1415.835204
-430.227855,1000,1418.446831
-535.381494,1000,1420.792149
-478.583441,1000,1423.309794
-527.956667,1000,1425.624376
-461.962925,1000,1427.994405
-475.013878,1000,1430.580171
-421.74945,1000,1583.232197
-453.490526,1000,1585.81372
-461.399251,1000,1588.110782
-409.972517,1000,1590.650855
-404.042281,1000,1593.226076
-441.437409,1000,1595.819354
-388.597686,1000,1598.312427
-514.095455,1000,1600.90522
-402.320171,1000,1603.516751
-401.858016,1000,1606.077986
-310.480731,1000,1759.16566
-405.755136,1000,1761.611033
-330.576669,1000,1764.048892
-360.142179,1000,1766.485779
-472.621915,1000,1768.88545
-353.173026,1000,1771.470868
-374.71648,1000,1774.044155
-312.550807,1000,1776.641977
-336.670558,1000,1779.219504
-358.849036,1000,1781.806734
-317.408122,1000,1934.294192
-258.215358,1000,1936.824047
-334.626191,1000,1939.186919
-264.574288,1000,1941.464576
-328.765385,1000,1943.939088
-301.684612,1000,1946.432584
-423.845898,1000,1948.983105
-259.184192,1000,1951.567847
-387.52544,1000,1954.167493
-253.79998,1000,1956.74858
-282.731164,1000,2109.037457
-288.836759,1000,2111.506304
-252.445853,1000,2114.120445
-302.78817,1000,2116.666101
-349.329556,1000,2119.12748
-273.560542,1000,2121.443275
-314.547254,1000,2123.963845
-290.412366,1000,2126.542405
-297.197476,1000,2129.026534
-266.85145,1000,2131.490338
-222.709826,1000,2283.984646
-227.621241,1000,2286.475802
-198.322374,1000,2289.024048
-286.141945,1000,2291.478542
-228.357253,1000,2294.036119
-224.44799,1000,2296.52632
-278.239252,1000,2298.941122
-156.376924,1000,2301.393825
-206.915792,1000,2303.762311
-111.120213,1000,2306.186327
-172.799214,1000,2458.406741
-183.634059,1000,2460.869341
-214.466213,1000,2463.428499
-165.291966,1000,2465.87588
-145.012116,1000,2468.469958
-381.276851,1000,2471.038053
-124.127744,1000,2473.565436
-170.443472,1000,2476.064594
-192.220237,1000,2478.59187
-241.545333,1000,2481.134102
-129.236604,1000,2633.709934
