# {"t_start": 1568112866.3517509, "env_id": "Hopper-v2"} 
r,l,t
5.44841,7,12.369629
17.956419,26,12.41947
8.570254,11,12.440541
47.648887,42,12.519626
17.93153,20,12.556616
22.285981,24,12.613857
18.190477,23,12.660938
9.125267,11,12.681756
15.497264,21,12.720421
26.898032,28,12.771968
17.106356,21,12.811176
15.763013,20,12.847359
31.402401,32,12.906728
9.339016,11,12.927223
20.594418,24,12.972509
4.637245,7,12.985941
21.356682,25,13.033436
18.362143,23,13.077149
21.03872,27,13.128691
10.595126,24,13.173059
26.375893,26,13.220953
17.100191,20,13.257764
9.589595,13,13.28239
5.297452,7,13.296175
82.526092,77,13.436635
27.447277,34,13.509137
6.369272,8,13.525311
23.961222,25,13.572588
24.161934,26,13.621846
29.171199,30,13.677534
8.321066,10,13.697136
15.127791,19,13.732381
19.034819,23,13.775203
15.358167,19,13.819699
19.47623,23,13.862776
26.536929,24,13.907532
25.530778,26,13.95518
19.669342,23,13.997853
8.159902,11,14.01868
25.4797,30,14.086076
6.420362,8,14.101671
14.169025,17,14.133835
18.983974,22,14.174518
6.252158,9,14.19133
13.486198,23,14.23405
26.233291,24,14.279796
24.270327,26,14.328753
17.193066,20,14.365965
26.94428,31,14.424404
17.051433,21,14.463743
7.846829,10,14.482739
24.464769,27,14.533622
36.713815,32,14.592322
26.628994,28,14.644922
7.074419,9,14.661966
28.584554,30,14.716977
15.322941,19,14.753162
8.016845,10,14.772007
7.159588,9,14.788234
13.688452,22,14.828815
17.141382,18,14.863321
8.511894,10,14.882732
12.325309,20,14.920095
13.473018,14,14.94601
4.913232,7,14.959571
11.048446,14,14.985522
4.917522,7,14.998719
6.192565,8,15.01363
11.452657,14,15.039068
12.387786,16,15.06882
23.598201,25,15.114809
23.149035,27,15.165607
16.30314,18,15.199783
8.347612,10,15.21783
16.02155,20,15.255059
14.721869,19,15.289655
13.913712,18,15.323659
26.523604,29,15.378278
5.421681,8,15.393813
5.629236,7,15.407325
20.272311,26,15.455662
19.557568,24,15.499334
21.396442,25,15.545277
22.125696,24,15.589888
21.633619,28,15.641026
16.513638,22,15.681384
21.073846,26,15.729139
26.69055,33,15.789565
11.699708,18,15.822453
6.576737,8,15.837352
18.08061,19,15.872855
19.108127,24,15.917223
6.062479,8,15.932169
55.090723,52,16.037287
20.256869,29,16.09428
25.698529,26,16.143144
22.357993,23,16.186575
15.19687,19,16.222536
9.67761,11,16.243643
56.824433,51,16.340872
27.780309,28,16.39202
21.308663,25,16.437747
19.57218,24,16.483562
19.728791,25,16.530788
23.003054,25,16.578778
46.692651,42,16.660135
23.85954,25,16.707949
18.036678,22,16.749423
8.519362,10,16.768123
33.808391,33,16.83131
35.757417,35,16.896897
9.83092,12,16.919365
10.790286,14,16.946362
26.79928,28,16.999162
21.387259,26,17.048429
20.577096,20,17.086199
55.730238,52,17.187194
25.371961,27,17.238863
6.047935,8,17.254426
20.021504,25,17.302044
11.451411,15,17.330556
33.372313,31,17.389463
16.949365,20,17.427456
14.651572,19,17.463442
11.892504,15,17.491918
30.496709,29,17.547018
16.282033,21,17.586692
23.799682,29,17.642027
5.899939,8,17.658703
15.462184,21,17.699334
27.925729,28,17.754182
33.044006,29,17.809137
6.909801,9,17.826499
17.286412,19,17.862299
12.470814,19,17.898732
17.742552,26,17.948413
7.705982,9,17.96586
21.288508,30,18.022298
6.306219,8,18.03775
22.368093,24,18.084379
5.205384,8,18.099976
16.452951,20,18.137714
17.240713,22,18.180251
5.350695,7,18.194346
26.331634,28,18.247747
